epoch,loss_sup,loss_cons,loss_total,val_loss,val_iou,val_precision,val_recall,val_f1
56,"tf.Tensor(0.76034826, shape=(), dtype=float32)","tf.Tensor(0.008778088, shape=(), dtype=float32)","tf.Tensor(0.76912636, shape=(), dtype=float32)",0.40961524844169617,0.4561944007873535,0.7336522340774536,0.6603988409042358,0.6017467975616455
57,"tf.Tensor(0.7523135, shape=(), dtype=float32)","tf.Tensor(0.0086033745, shape=(), dtype=float32)","tf.Tensor(0.7609169, shape=(), dtype=float32)",0.3819243907928467,0.49224337935447693,0.7055315971374512,0.738987147808075,0.638033926486969
58,"tf.Tensor(0.75702536, shape=(), dtype=float32)","tf.Tensor(0.0108859325, shape=(), dtype=float32)","tf.Tensor(0.7679113, shape=(), dtype=float32)",0.41802021861076355,0.4513855576515198,0.7269935607910156,0.6415252685546875,0.5977609753608704
59,"tf.Tensor(0.7509912, shape=(), dtype=float32)","tf.Tensor(0.008843641, shape=(), dtype=float32)","tf.Tensor(0.7598349, shape=(), dtype=float32)",0.41842564940452576,0.4545966386795044,0.7606433033943176,0.6590262651443481,0.5961834788322449
60,"tf.Tensor(0.7540363, shape=(), dtype=float32)","tf.Tensor(0.008103158, shape=(), dtype=float32)","tf.Tensor(0.76213944, shape=(), dtype=float32)",0.43208548426628113,0.43100014328956604,0.7580519914627075,0.6181821823120117,0.573266327381134
61,"tf.Tensor(0.7507861, shape=(), dtype=float32)","tf.Tensor(0.009051881, shape=(), dtype=float32)","tf.Tensor(0.759838, shape=(), dtype=float32)",0.4028782248497009,0.468903124332428,0.7534875273704529,0.642647922039032,0.6153472661972046
62,"tf.Tensor(0.7340981, shape=(), dtype=float32)","tf.Tensor(0.009088902, shape=(), dtype=float32)","tf.Tensor(0.74318695, shape=(), dtype=float32)",0.39796164631843567,0.47481876611709595,0.6850309371948242,0.7142822742462158,0.6238890886306763
63,"tf.Tensor(0.75349855, shape=(), dtype=float32)","tf.Tensor(0.008981411, shape=(), dtype=float32)","tf.Tensor(0.76247996, shape=(), dtype=float32)",0.4007760286331177,0.4705268144607544,0.7129697203636169,0.6778915524482727,0.6187722682952881
64,"tf.Tensor(0.74053234, shape=(), dtype=float32)","tf.Tensor(0.009966159, shape=(), dtype=float32)","tf.Tensor(0.7504985, shape=(), dtype=float32)",0.4062470495700836,0.47092878818511963,0.7412415146827698,0.6659399271011353,0.6158679127693176
65,"tf.Tensor(0.75192094, shape=(), dtype=float32)","tf.Tensor(0.007571493, shape=(), dtype=float32)","tf.Tensor(0.75949246, shape=(), dtype=float32)",0.4393896460533142,0.4256612956523895,0.7537268996238708,0.6167377829551697,0.5672350525856018
66,"tf.Tensor(0.75086164, shape=(), dtype=float32)","tf.Tensor(0.008730557, shape=(), dtype=float32)","tf.Tensor(0.7595922, shape=(), dtype=float32)",0.405969500541687,0.4619901776313782,0.7417751550674438,0.6477169394493103,0.6089884042739868
