epoch,loss_sup,loss_cons,loss_total,val_loss,val_iou,val_precision,val_recall,val_f1
0,"tf.Tensor(0.61022854, shape=(), dtype=float32)","tf.Tensor(0.0068375724, shape=(), dtype=float32)","tf.Tensor(0.6102746, shape=(), dtype=float32)",0.5206251740455627,0.34890419244766235,0.3820427656173706,0.9550937414169312,0.4938045144081116
1,"tf.Tensor(0.6302023, shape=(), dtype=float32)","tf.Tensor(0.01150043, shape=(), dtype=float32)","tf.Tensor(0.6303098, shape=(), dtype=float32)",0.43986940383911133,0.42788413166999817,0.49643582105636597,0.8852825164794922,0.5778676271438599
2,"tf.Tensor(0.62328553, shape=(), dtype=float32)","tf.Tensor(0.015911344, shape=(), dtype=float32)","tf.Tensor(0.62348974, shape=(), dtype=float32)",0.4315064549446106,0.4283650517463684,0.4837971329689026,0.9234374165534973,0.5800496339797974
3,"tf.Tensor(0.632336, shape=(), dtype=float32)","tf.Tensor(0.01328089, shape=(), dtype=float32)","tf.Tensor(0.6325674, shape=(), dtype=float32)",0.3982214331626892,0.46454739570617676,0.5555883049964905,0.8472592830657959,0.6178082227706909
4,"tf.Tensor(0.5894798, shape=(), dtype=float32)","tf.Tensor(0.01665953, shape=(), dtype=float32)","tf.Tensor(0.58986944, shape=(), dtype=float32)",0.3930903375148773,0.467664510011673,0.5462680459022522,0.882877767086029,0.6192139983177185
5,"tf.Tensor(0.62506163, shape=(), dtype=float32)","tf.Tensor(0.015076097, shape=(), dtype=float32)","tf.Tensor(0.6255297, shape=(), dtype=float32)",0.362403929233551,0.4979116916656494,0.6002504229545593,0.8537681698799133,0.6486329436302185
6,"tf.Tensor(0.642872, shape=(), dtype=float32)","tf.Tensor(0.018102458, shape=(), dtype=float32)","tf.Tensor(0.6436099, shape=(), dtype=float32)",0.36673155426979065,0.49257826805114746,0.5951471328735352,0.8317906260490417,0.644265353679657
7,"tf.Tensor(0.60548115, shape=(), dtype=float32)","tf.Tensor(0.014754923, shape=(), dtype=float32)","tf.Tensor(0.606262, shape=(), dtype=float32)",0.36069512367248535,0.4991450011730194,0.5969259738922119,0.8487004041671753,0.6508340835571289
8,"tf.Tensor(0.6689381, shape=(), dtype=float32)","tf.Tensor(0.016440788, shape=(), dtype=float32)","tf.Tensor(0.6700553, shape=(), dtype=float32)",0.36163854598999023,0.49898847937583923,0.5858007073402405,0.8828503489494324,0.648411214351654
9,"tf.Tensor(0.60769457, shape=(), dtype=float32)","tf.Tensor(0.013937008, shape=(), dtype=float32)","tf.Tensor(0.60889727, shape=(), dtype=float32)",0.34312954545021057,0.5180720090866089,0.6233658790588379,0.8561388850212097,0.6667317152023315
10,"tf.Tensor(0.648048, shape=(), dtype=float32)","tf.Tensor(0.01896293, shape=(), dtype=float32)","tf.Tensor(0.650103, shape=(), dtype=float32)",0.34894636273384094,0.510501503944397,0.6126254796981812,0.8478637933731079,0.6606177091598511
11,"tf.Tensor(0.63620734, shape=(), dtype=float32)","tf.Tensor(0.016119009, shape=(), dtype=float32)","tf.Tensor(0.6383767, shape=(), dtype=float32)",0.3372741937637329,0.5227767825126648,0.6296845078468323,0.8479127883911133,0.672749936580658
12,"tf.Tensor(0.64067805, shape=(), dtype=float32)","tf.Tensor(0.01624078, shape=(), dtype=float32)","tf.Tensor(0.64336264, shape=(), dtype=float32)",0.33791303634643555,0.5218166708946228,0.622652530670166,0.8518176078796387,0.6718888878822327
13,"tf.Tensor(0.6193889, shape=(), dtype=float32)","tf.Tensor(0.018550254, shape=(), dtype=float32)","tf.Tensor(0.62311333, shape=(), dtype=float32)",0.33527305722236633,0.5230362415313721,0.6359178423881531,0.8347280621528625,0.6728798747062683
14,"tf.Tensor(0.6267791, shape=(), dtype=float32)","tf.Tensor(0.017901903, shape=(), dtype=float32)","tf.Tensor(0.6310966, shape=(), dtype=float32)",0.3372972309589386,0.519777774810791,0.6637387275695801,0.7789015769958496,0.6700403094291687
15,"tf.Tensor(0.62065434, shape=(), dtype=float32)","tf.Tensor(0.013868354, shape=(), dtype=float32)","tf.Tensor(0.6246277, shape=(), dtype=float32)",0.3384316861629486,0.5220860838890076,0.6545596122741699,0.8210601210594177,0.6682095527648926
16,"tf.Tensor(0.6280018, shape=(), dtype=float32)","tf.Tensor(0.014749769, shape=(), dtype=float32)","tf.Tensor(0.63296646, shape=(), dtype=float32)",0.3368414044380188,0.526452362537384,0.6503573060035706,0.8359807133674622,0.672745943069458
17,"tf.Tensor(0.65296745, shape=(), dtype=float32)","tf.Tensor(0.016916329, shape=(), dtype=float32)","tf.Tensor(0.6595828, shape=(), dtype=float32)",0.33489567041397095,0.5285084247589111,0.6762760281562805,0.804022490978241,0.6728251576423645
18,"tf.Tensor(0.57203954, shape=(), dtype=float32)","tf.Tensor(0.015366604, shape=(), dtype=float32)","tf.Tensor(0.5789442, shape=(), dtype=float32)",0.3420320749282837,0.519587516784668,0.6650420427322388,0.7743125557899475,0.6665029525756836
19,"tf.Tensor(0.6114456, shape=(), dtype=float32)","tf.Tensor(0.012782917, shape=(), dtype=float32)","tf.Tensor(0.6179722, shape=(), dtype=float32)",0.3380550146102905,0.5234067440032959,0.708836019039154,0.7485161423683167,0.6690199971199036
20,"tf.Tensor(0.61922884, shape=(), dtype=float32)","tf.Tensor(0.01376095, shape=(), dtype=float32)","tf.Tensor(0.62712425, shape=(), dtype=float32)",0.34458720684051514,0.5155856013298035,0.7109225988388062,0.6994733810424805,0.6626720428466797
21,"tf.Tensor(0.6108136, shape=(), dtype=float32)","tf.Tensor(0.015532502, shape=(), dtype=float32)","tf.Tensor(0.6207176, shape=(), dtype=float32)",0.3385426104068756,0.5194900035858154,0.6611782908439636,0.7977237105369568,0.6687502861022949
22,"tf.Tensor(0.6133431, shape=(), dtype=float32)","tf.Tensor(0.014229794, shape=(), dtype=float32)","tf.Tensor(0.62331516, shape=(), dtype=float32)",0.3501644730567932,0.512188196182251,0.7011585235595703,0.7490857839584351,0.6553797125816345
23,"tf.Tensor(0.60712713, shape=(), dtype=float32)","tf.Tensor(0.015036376, shape=(), dtype=float32)","tf.Tensor(0.6185801, shape=(), dtype=float32)",0.3716222941875458,0.48551490902900696,0.7187251448631287,0.6704708933830261,0.6305116415023804
24,"tf.Tensor(0.62079144, shape=(), dtype=float32)","tf.Tensor(0.0143808825, shape=(), dtype=float32)","tf.Tensor(0.6325655, shape=(), dtype=float32)",0.36063066124916077,0.4974460005760193,0.6983473300933838,0.7087972164154053,0.6461279392242432
25,"tf.Tensor(0.63774836, shape=(), dtype=float32)","tf.Tensor(0.01465774, shape=(), dtype=float32)","tf.Tensor(0.65050536, shape=(), dtype=float32)",0.372067391872406,0.48943766951560974,0.7239074110984802,0.6708134412765503,0.6354930996894836
26,"tf.Tensor(0.5943693, shape=(), dtype=float32)","tf.Tensor(0.008403067, shape=(), dtype=float32)","tf.Tensor(0.60205764, shape=(), dtype=float32)",0.3655535876750946,0.4933651387691498,0.6745185256004333,0.7216850519180298,0.6420596241950989
27,"tf.Tensor(0.6021595, shape=(), dtype=float32)","tf.Tensor(0.008567789, shape=(), dtype=float32)","tf.Tensor(0.6103094, shape=(), dtype=float32)",0.398275226354599,0.4636760950088501,0.7235158681869507,0.6150043606758118,0.6078030467033386
28,"tf.Tensor(0.63223165, shape=(), dtype=float32)","tf.Tensor(0.009574636, shape=(), dtype=float32)","tf.Tensor(0.64159584, shape=(), dtype=float32)",0.37640807032585144,0.4841281771659851,0.7067744731903076,0.6678826212882996,0.629463791847229
29,"tf.Tensor(0.6550354, shape=(), dtype=float32)","tf.Tensor(0.010696169, shape=(), dtype=float32)","tf.Tensor(0.6656723, shape=(), dtype=float32)",0.39846158027648926,0.46821704506874084,0.7395455241203308,0.621958315372467,0.6093063354492188
30,"tf.Tensor(0.61921793, shape=(), dtype=float32)","tf.Tensor(0.01073255, shape=(), dtype=float32)","tf.Tensor(0.62995046, shape=(), dtype=float32)",0.3538336753845215,0.5151419639587402,0.6985887885093689,0.7405989170074463,0.6589310169219971
31,"tf.Tensor(0.604298, shape=(), dtype=float32)","tf.Tensor(0.012924696, shape=(), dtype=float32)","tf.Tensor(0.61722267, shape=(), dtype=float32)",0.3673504889011383,0.5003986954689026,0.7044845819473267,0.7064203023910522,0.6439314484596252
32,"tf.Tensor(0.60500205, shape=(), dtype=float32)","tf.Tensor(0.012449387, shape=(), dtype=float32)","tf.Tensor(0.6174514, shape=(), dtype=float32)",0.4068918824195862,0.45949235558509827,0.7381884455680847,0.5917513966560364,0.5997357964515686
33,"tf.Tensor(0.60381275, shape=(), dtype=float32)","tf.Tensor(0.009761728, shape=(), dtype=float32)","tf.Tensor(0.6135745, shape=(), dtype=float32)",0.3927018940448761,0.47299057245254517,0.7440748810768127,0.6080877780914307,0.6133336424827576
34,"tf.Tensor(0.61088145, shape=(), dtype=float32)","tf.Tensor(0.009322302, shape=(), dtype=float32)","tf.Tensor(0.62020373, shape=(), dtype=float32)",0.40984269976615906,0.45868417620658875,0.7378796339035034,0.5825998187065125,0.599184513092041
35,"tf.Tensor(0.6208847, shape=(), dtype=float32)","tf.Tensor(0.008738577, shape=(), dtype=float32)","tf.Tensor(0.6296233, shape=(), dtype=float32)",0.3923381567001343,0.4672508239746094,0.6475698351860046,0.6995759010314941,0.6139385104179382
